date,mw,value
2013-06,4.5–6.5kW',628182
2013-06,50–100kW',15491
2013-06,6.5–9.5kW',54706
2013-06,9.5–14kW',95474
2013-06,<2.5kW',1080838
2013-07,'30+ Mw',0
2013-07,'5Mw–30Mw',0
2013-07,100kW–5MW',1400
2013-07,14–25kW',35180
2013-07,2.5–4.5kW',888883
2013-07,25–50kW',38326
2013-07,4.5–6.5kW',653826
2013-07,50–100kW',16927
2013-07,6.5–9.5kW',56922
2013-07,9.5–14kW',98597
2013-07,<2.5kW',1088768
2013-08,'30+ Mw',0
2013-08,'5Mw–30Mw',0
2013-08,100kW–5MW',1700
2013-08,14–25kW',36998
2013-08,2.5–4.5kW',906893
2013-08,25–50kW',40562
2013-08,4.5–6.5kW',677285
2013-08,50–100kW',17998
2013-08,6.5–9.5kW',59696
2013-08,9.5–14kW',102057
2013-08,<2.5kW',1095169
2013-09,'30+ Mw',0
2013-09,'5Mw–30Mw',0
2013-09,100kW–5MW',2200
2013-09,14–25kW',39122
2013-09,2.5–4.5kW',924975
2013-09,25–50kW',42746
2013-09,4.5–6.5kW',702271
2013-09,50–100kW',19692
2013-09,6.5–9.5kW',62544
2013-09,9.5–14kW',106250
2013-09,<2.5kW',1100994
